customer_id,name,phone,language_pref,time_zone
1,Customer_1,+916503455352,en,Asia/Kolkata
2,Customer_2,+916452043932,en,Asia/Kolkata
3,Customer_3,+917057149062,en,Asia/Kolkata
4,Customer_4,+916379205036,en,Asia/Kolkata
5,Customer_5,+919970597903,en,Asia/Kolkata
6,Customer_6,+917556836599,en,Asia/Kolkata
7,Customer_7,+916634159298,en,Asia/Kolkata
8,Customer_8,+917412968662,en,America/New_York
9,Customer_9,+919286360796,en,Asia/Kolkata
10,Customer_10,+919991312889,en,Asia/Kolkata
11,Customer_11,+918572946856,en,America/New_York
12,Customer_12,+917986202592,en,Asia/Kolkata
13,Customer_13,+916153256109,en,America/New_York
14,Customer_14,+919622368665,en,America/New_York
15,Customer_15,+916348093006,en,America/New_York
16,Customer_16,+917630967681,en,Asia/Kolkata
17,Customer_17,+919700097931,en,Asia/Kolkata
18,Customer_18,+917063490054,en,Asia/Kolkata
19,Customer_19,+917801211110,en,Asia/Kolkata
20,Customer_20,+917975924369,en,America/New_York
21,Customer_21,+919805070061,en,Asia/Kolkata
22,Customer_22,+916038271010,en,Asia/Kolkata
23,Customer_23,+918755527611,en,America/New_York
24,Customer_24,+917947010935,en,America/New_York
25,Customer_25,+918931298261,en,Asia/Kolkata
26,Customer_26,+919479441200,en,America/New_York
27,Customer_27,+917154418619,en,Asia/Kolkata
28,Customer_28,+916024200063,en,Asia/Kolkata
29,Customer_29,+918070736529,en,Asia/Kolkata
30,Customer_30,+916748121801,en,Asia/Kolkata
31,Customer_31,+916674489704,en,Asia/Kolkata
32,Customer_32,+916141931043,en,Asia/Kolkata
33,Customer_33,+917035027619,en,America/New_York
34,Customer_34,+918238239969,en,Asia/Kolkata
35,Customer_35,+919621283241,en,Asia/Kolkata
36,Customer_36,+918051650144,en,Asia/Kolkata
37,Customer_37,+918480338547,en,Asia/Kolkata
38,Customer_38,+916827405030,en,Asia/Kolkata
39,Customer_39,+916469790578,en,Asia/Kolkata
40,Customer_40,+919861612848,en,Asia/Kolkata
41,Customer_41,+919889532087,en,Asia/Kolkata
42,Customer_42,+917239717261,en,Asia/Kolkata
43,Customer_43,+918697747029,en,Asia/Kolkata
44,Customer_44,+916437570023,en,Asia/Kolkata
45,Customer_45,+919346751367,en,Asia/Kolkata
46,Customer_46,+918158527695,en,America/New_York
47,Customer_47,+916643864473,en,Asia/Kolkata
48,Customer_48,+917375108139,en,Asia/Kolkata
49,Customer_49,+917699555852,en,Asia/Kolkata
50,Customer_50,+919455591031,en,Asia/Kolkata
51,Customer_51,+916691300470,en,Asia/Kolkata
52,Customer_52,+919621109217,en,Asia/Kolkata
53,Customer_53,+916562715169,en,Asia/Kolkata
54,Customer_54,+917466236080,en,Asia/Kolkata
55,Customer_55,+919476605614,en,Asia/Kolkata
56,Customer_56,+918027045359,en,Asia/Kolkata
57,Customer_57,+919742076225,en,Asia/Kolkata
58,Customer_58,+918398181820,en,Asia/Kolkata
59,Customer_59,+916424055040,en,America/New_York
60,Customer_60,+917271894069,en,Asia/Kolkata
61,Customer_61,+916357213082,en,Asia/Kolkata
62,Customer_62,+916691468550,en,Asia/Kolkata
63,Customer_63,+916391944876,en,Asia/Kolkata
64,Customer_64,+919145154027,en,Asia/Kolkata
65,Customer_65,+918519924787,en,America/New_York
66,Customer_66,+916444177832,en,America/New_York
67,Customer_67,+918696441077,en,Asia/Kolkata
68,Customer_68,+916804905782,en,Asia/Kolkata
69,Customer_69,+917599365533,en,Asia/Kolkata
70,Customer_70,+918943245696,en,Asia/Kolkata
71,Customer_71,+917847832824,en,Asia/Kolkata
72,Customer_72,+919736783849,en,Asia/Kolkata
73,Customer_73,+919943269936,en,America/New_York
74,Customer_74,+919781973255,en,Asia/Kolkata
75,Customer_75,+918708046917,en,Asia/Kolkata
76,Customer_76,+916674159466,en,Asia/Kolkata
77,Customer_77,+917304538286,en,Asia/Kolkata
78,Customer_78,+918610443401,en,Asia/Kolkata
79,Customer_79,+917810792187,en,Asia/Kolkata
80,Customer_80,+918454023422,en,Asia/Kolkata
81,Customer_81,+919170964368,en,America/New_York
82,Customer_82,+917734122745,en,Asia/Kolkata
83,Customer_83,+916814956572,en,Asia/Kolkata
84,Customer_84,+917264030049,en,Asia/Kolkata
85,Customer_85,+918867136143,en,America/New_York
86,Customer_86,+916165811076,en,Asia/Kolkata
